year,month,day,week_day,time,saying,like
2022,3,11,4,23,First_day_in_lab/1936588711/340710138/455586046/549772017/614811399/625188698/675432173/737630259/754063701/786904676/790838534/836279427/839714296/865345507/865616979/879380968/941431205/941921563/944485527/1146158881/1206124455/1208859573/1244260621/1297523632/1302641259,"['/1936588711', '/340710138', '/455586046', '/549772017', '/614811399', '/625188698', '/675432173', '/737630259', '/754063701', '/786904676', '/790838534', '/836279427', '/839714296', '/865345507', '/865616979', '/879380968', '/941431205', '/941921563', '/944485527', '/1146158881', '/1206124455', '/1208859573', '/1244260621', '/1297523632', '/1302641259']"
2022,3,9,2,11,这波是初中班主任和高中班主任同场竞技/1936588711/274117708/340710138/625188698/737630259/786904676/804426945/836279427/839714296/935328918/941921563/987308471/1135486870/1146158881/1179136838/1192072046/1206124455/1208859573/1244260621/1250476396/1263322130/1291738717/1339708167/1374811950/1390308283,"['/1936588711', '/274117708', '/340710138', '/625188698', '/737630259', '/786904676', '/804426945', '/836279427', '/839714296', '/935328918', '/941921563', '/987308471', '/1135486870', '/1146158881', '/1179136838', '/1192072046', '/1206124455', '/1208859573', '/1244260621', '/1250476396', '/1263322130', '/1291738717', '/1339708167', '/1374811950', '/1390308283']"
2022,3,8,1,23,拍了个寂寞/1936588711/340710138/457292218/614811399/625188698/737630259/786904676/790838534/836279427/865616979/879380968/918692413/941921563/1052038341/1146158881/1206124455/1208859573/1244260621/1263322130/1302641259/1310740384/1374811950/1539535958/1550186185/1723809422,"['/1936588711', '/340710138', '/457292218', '/614811399', '/625188698', '/737630259', '/786904676', '/790838534', '/836279427', '/865616979', '/879380968', '/918692413', '/941921563', '/1052038341', '/1146158881', '/1206124455', '/1208859573', '/1244260621', '/1263322130', '/1302641259', '/1310740384', '/1374811950', '/1539535958', '/1550186185', '/1723809422']"
2022,3,5,5,7,恐惧来源于火力不足焦虑来源于光想不做/1936588711/340710138/549772017/737630259/754063701/770500719/786904676/790838534/839714296/865345507/941921563/944485527/1121210708/1206124455/1244260621/1263322130/1275361400/1367294697/1374811950/1434705253/1539535958/1735610387/1748202587/1752339637/1817578051,"['/1936588711', '/340710138', '/549772017', '/737630259', '/754063701', '/770500719', '/786904676', '/790838534', '/839714296', '/865345507', '/941921563', '/944485527', '/1121210708', '/1206124455', '/1244260621', '/1263322130', '/1275361400', '/1367294697', '/1374811950', '/1434705253', '/1539535958', '/1735610387', '/1748202587', '/1752339637', '/1817578051']"
2022,3,2,2,15,14                            来自 iPhone 12 mini (4G)                                         /1936588711/340710138/386735006/625188698/737630259/785780714/786904676/836279427/839714296/865345507/865616979/941921563/1146158881/1195604719/1206124455/1244260621/1263322130/1290627218/1291395276/1302641259/1340933565/1425774059/1442065637/1539535958/1550186185,"['/1936588711', '/340710138', '/386735006', '/625188698', '/737630259', '/785780714', '/786904676', '/836279427', '/839714296', '/865345507', '/865616979', '/941921563', '/1146158881', '/1195604719', '/1206124455', '/1244260621', '/1263322130', '/1290627218', '/1291395276', '/1302641259', '/1340933565', '/1425774059', '/1442065637', '/1539535958', '/1550186185']"
2022,2,28,0,15,来自 iPhone 12 mini (5G)                                         /1936588711/340710138/508320076/549772017/737630259/786904676/804426945/836279427/839714296/879380968/941921563/944485527/981576083/987308471/1035771491/1162032310/1195604719/1206124455/1244260621/1290627218/1291395276/1300710621/1374811950/1426648613/1434705253,"['/1936588711', '/340710138', '/508320076', '/549772017', '/737630259', '/786904676', '/804426945', '/836279427', '/839714296', '/879380968', '/941921563', '/944485527', '/981576083', '/987308471', '/1035771491', '/1162032310', '/1195604719', '/1206124455', '/1244260621', '/1290627218', '/1291395276', '/1300710621', '/1374811950', '/1426648613', '/1434705253']"
2022,2,27,6,16,这课得多水啊/1936588711/386735006/457292218/549772017/614811399/675432173/737630259/754063701/786904676/836279427/879380968/941921563/944485527/987308471/1135486870/1206124455/1208859573/1241644786/1244260621/1263322130/1290627218/1297523632/1300710621/1374811950/1434705253,"['/1936588711', '/386735006', '/457292218', '/549772017', '/614811399', '/675432173', '/737630259', '/754063701', '/786904676', '/836279427', '/879380968', '/941921563', '/944485527', '/987308471', '/1135486870', '/1206124455', '/1208859573', '/1241644786', '/1244260621', '/1263322130', '/1290627218', '/1297523632', '/1300710621', '/1374811950', '/1434705253']"
2022,2,26,5,8,艹 什么鬼昨天晚上就想出发去学校结果今天早上起床小区封了/1936588711/340710138/549772017/625188698/675432173/709019876/763277047/786904676/804426945/935328918/941431205/941921563/944485527/1035771491/1178565956/1195604719/1206124455/1208859573/1241644786/1244260621/1263322130/1302641259/1367294697/1374811950/1390308283,"['/1936588711', '/340710138', '/549772017', '/625188698', '/675432173', '/709019876', '/763277047', '/786904676', '/804426945', '/935328918', '/941431205', '/941921563', '/944485527', '/1035771491', '/1178565956', '/1195604719', '/1206124455', '/1208859573', '/1241644786', '/1244260621', '/1263322130', '/1302641259', '/1367294697', '/1374811950', '/1390308283']"
2022,2,22,1,2,？/1936588711/737630259/836279427/839714296/941921563/944485527/1052038341/1208859573/1244260621/1263322130/1340933565/1374811950/1467393188/1539535958/1748202587/1752339637/1830414997/1932745866/1979731693/2045205783/2061653661/2073802150/2115321954/2306345623/2307680132,"['/1936588711', '/737630259', '/836279427', '/839714296', '/941921563', '/944485527', '/1052038341', '/1208859573', '/1244260621', '/1263322130', '/1340933565', '/1374811950', '/1467393188', '/1539535958', '/1748202587', '/1752339637', '/1830414997', '/1932745866', '/1979731693', '/2045205783', '/2061653661', '/2073802150', '/2115321954', '/2306345623', '/2307680132']"
2022,2,18,4,22,2022.2.22，22：22/1936588711/457292218/578301635/625188698/737630259/754063701/836279427/839714296/865345507/879380968/918692413/944485527/1052038341/1206124455/1290627218/1302641259/1374811950/1390308283/1467393188/1529735374/1539535958/1735610387/1749346331/1752339637/1830414997,"['/1936588711', '/457292218', '/578301635', '/625188698', '/737630259', '/754063701', '/836279427', '/839714296', '/865345507', '/879380968', '/918692413', '/944485527', '/1052038341', '/1206124455', '/1290627218', '/1302641259', '/1374811950', '/1390308283', '/1467393188', '/1529735374', '/1539535958', '/1735610387', '/1749346331', '/1752339637', '/1830414997']"
2022,2,14,0,0,关于小区换门禁而父母都睡着了这件事/1936588711/340710138/386735006/549772017/578301635/614811399/625188698/675432173/737630259/754063701/836279427/839714296/865345507/918692413/941921563/942637087/944485527/981576083/1035771491/1052038341/1114229811/1121210708/1206124455/1208859573/1374811950,"['/1936588711', '/340710138', '/386735006', '/549772017', '/578301635', '/614811399', '/625188698', '/675432173', '/737630259', '/754063701', '/836279427', '/839714296', '/865345507', '/918692413', '/941921563', '/942637087', '/944485527', '/981576083', '/1035771491', '/1052038341', '/1114229811', '/1121210708', '/1206124455', '/1208859573', '/1374811950']"
2022,2,13,6,19,Love U@龙冬韵ᰔᩚ /1936588711/340710138/418987059/614811399/625188698/675432173/737630259/754063701/763277047/786904676/790838534/804426945/865345507/941921563/944485527/987308471/1052038341/1146158881/1195604719/1206124455/1241644786/1275361400/1290627218/1302641259/1374811950,"['/1936588711', '/340710138', '/418987059', '/614811399', '/625188698', '/675432173', '/737630259', '/754063701', '/763277047', '/786904676', '/790838534', '/804426945', '/865345507', '/941921563', '/944485527', '/987308471', '/1052038341', '/1146158881', '/1195604719', '/1206124455', '/1241644786', '/1275361400', '/1290627218', '/1302641259', '/1374811950']"
2022,2,12,5,15,谢谢 我就是挂 人形挂/1936588711/340710138/404005073/625188698/737630259/790838534/839714296/879380968/941431205/941921563/944485527/1006818016/1192072046/1206124455/1374811950/1539535958/1638081771/1685959551/1735610387/1749346331/1780956182/1830414997/1928268705/1963569247/1972465490,"['/1936588711', '/340710138', '/404005073', '/625188698', '/737630259', '/790838534', '/839714296', '/879380968', '/941431205', '/941921563', '/944485527', '/1006818016', '/1192072046', '/1206124455', '/1374811950', '/1539535958', '/1638081771', '/1685959551', '/1735610387', '/1749346331', '/1780956182', '/1830414997', '/1928268705', '/1963569247', '/1972465490']"
2022,2,8,1,0,今日/1936588711/340710138/386735006/404005073/418987059/614811399/625188698/737630259/754063701/763277047/786904676/865345507/941921563/944485527/1052038341/1195604719/1206124455/1208859573/1290627218/1302641259/1340933565/1374811950/1467393188/1529735374/1539535958,"['/1936588711', '/340710138', '/386735006', '/404005073', '/418987059', '/614811399', '/625188698', '/737630259', '/754063701', '/763277047', '/786904676', '/865345507', '/941921563', '/944485527', '/1052038341', '/1195604719', '/1206124455', '/1208859573', '/1290627218', '/1302641259', '/1340933565', '/1374811950', '/1467393188', '/1529735374', '/1539535958']"
2022,2,6,6,1,今日,[]
2022,2,4,4,20,女足牛逼！！！牛逼！牛逼！！！！,[]
2022,1,29,5,21,今日,[]
2022,1,26,2,0,憨憨生日快乐！@亲爱的冬冬不知道说些啥了爱你！,[]
2022,1,24,0,0,廿三循环，始得今朝方下公交，喜上眉梢蒙冤五年，昭雪鹅毛恶人终有了恶报 展开全文,[]
2022,1,20,3,22,芜湖～,[]
2022,1,18,1,21,个鬼四中，考完了还要补课气死了气死了诶 不对我好像已经毕业了,[]
2022,1,18,1,23,谁能拒绝这个大脸盘子啊,[]
2022,1,16,6,8,芜湖～@吴昊,[]
2022,1,14,4,22,一天无限更bot ：我在床上可是要兽性大发的。具体表现为像个考拉，能连续睡二十个小时。                  来自 iPhone 12 mini,[]
2022,1,14,4,21,我不李姐,[]
2022,1,12,2,9,听说四中跟雪更配喔,[]
2022,1,11,1,22,火迷 yyds！,[]
2022,1,9,6,21,放假第三天 突然意识到好像没有寒假作业？,[]
2022,1,3,0,2,今日.jpg@I11-王琦锐 @I26-温东轩,[]
2022,1,3,0,11,当代大学生心路历程,[]
2022,1,2,6,10,虽押但寄,[]
2021,12,31,4,10,押题x1,[]
2021,12,27,0,21,总结一下,[]
2021,12,26,6,10,卧槽p5p6那天晚上我到底在干嘛卧槽,[]
2021,12,24,4,1,猜猜我在哪,[]
2021,12,23,3,1,太对了哥这就开摆,[]
2021,12,20,0,1,就是说 第一次登月 总得留点纪念焯总算拍到环形山了,[]
2021,12,18,5,17,,[]
2021,12,7,1,16,是最爱的秋呀！,[]
2021,12,1,2,19,求三连 求三连！,[]
2021,11,28,6,23,就是说 最近有点魔怔了刚刚把耳机从袋子里面拿出来了，但是发现不需要耳机了然后我他妈按了半天Ctrl+z还在寻思为什么耳机没有自己回去,[]
2021,11,27,5,17,新的一期来啦！,[]
2021,11,26,4,22,口圭口我～,[]
2021,11,25,3,8,一颗赤膊的心脏,[]
2021,11,21,6,11,众所周知 最卷的是月亮因为它早晚都在图书馆,[]
2021,11,17,2,12,音质与做工俱全——拜亚动力新封闭大耳dt700prox测评       2播放 · 3点赞 · 0弹幕,[]
2021,11,17,2,22,这辈子最可惜的事情就是酒精过敏了,[]
2021,11,15,0,13,刺 激 消 费,[]
2021,11,13,5,19,土建nb！我们 是冠军！！！,[]
2021,11,12,4,12,甚是想念,[]
2021,11,10,2,14,今日是只会鼓掌的伴郎,[]
2021,11,8,0,12,因为昨天太冷而选择今天穿羽绒袄的我武汉 真有你的,[]
2021,11,8,0,18,是守护的,[]
2021,11,8,0,1,与君缘起于某日的夕阳，相携约定了来日的方长。哪怕日月于这一秒相撞，我亦会在你身前为你阻挡。,[]
2021,11,5,4,0,我摊牌了@龙冬韵ᰔᩚ,[]
